,trspeed,trdir,trdir_t,wspd
0,55.71928526217643,105.46856745485023,2.3399519407869747,34.352231911551854
1,11.687248389079897,84.32157670950099,1.017950962236822,34.053724164131914
2,10.02391008263652,85.03234166184589,1.0469708384497072,24.63940592455877
3,9.20214014698255,84.54338245083605,1.7202956014264903,16.60938579678786
4,8.751583793373554,86.26367805226253,2.0126234253762383,15.500856228028153
5,9.012547626905073,87.50371995515486,2.4673310107979396,14.929409065376369
6,8.998637448824187,85.03638894435693,2.708193486431464,17.0433739332642
7,23.536234219817654,114.11202222272675,6.599339991233677,51.711307511911016
8,23.667490778153304,116.06327585933575,6.102287270295875,55.77144437516196
9,21.101432951527656,121.54102973568402,3.386806670431107,70.47387327758936
10,41.23878063511129,96.45545001502201,2.496530556296811,24.411850942595706
11,47.5916550514021,96.13820174818613,3.3578696934356635,15.72477235102705
12,31.104236450650404,33.758897924256765,5.993895028976482,27.959249161858843
13,34.07618406636457,27.765002895280283,13.237840480361115,29.501877891584645
14,36.456393331061214,14.52716241491917,8.35497415786859,31.2774788388994
15,55.71928526217643,105.46856745485023,2.3399519407869747,33.787135228015025
16,23.536234219817654,114.11202222272675,6.599339991233677,64.09747297744457
17,23.667490778153304,116.06327585933575,6.102287270295875,68.84710601122461
18,21.101432951527656,121.54102973568402,3.386806670431107,84.88334070659708
19,41.23878063511129,96.45545001502201,2.496530556296811,70.8906287370479
20,47.5916550514021,96.13820174818613,3.3578696934356635,61.90851109780078
21,23.536234219817654,114.11202222272675,6.599339991233677,49.62267448558953
22,23.667490778153304,116.06327585933575,6.102287270295875,54.12265059955312
23,21.101432951527656,121.54102973568402,3.386806670431107,70.29421161041319
24,55.71928526217643,105.46856745485023,2.3399519407869747,71.76372778371609
25,11.687248389079897,84.32157670950099,1.017950962236822,57.574415028118
26,10.02391008263652,85.03234166184589,1.0469708384497072,50.70829358979107
27,9.20214014698255,84.54338245083605,1.7202956014264903,44.4572332837344
28,8.751583793373554,86.26367805226253,2.0126234253762383,41.281478639029004
29,9.012547626905073,87.50371995515486,2.4673310107979396,37.66147807612807
30,8.998637448824187,85.03638894435693,2.708193486431464,31.8202479222495
31,41.23878063511129,96.45545001502201,2.496530556296811,49.446668488035705
32,47.5916550514021,96.13820174818613,3.3578696934356635,40.16473105605812
33,55.71928526217643,105.46856745485023,2.3399519407869747,45.091540420436246
34,11.687248389079897,84.32157670950099,1.017950962236822,35.692007792736604
35,10.02391008263652,85.03234166184589,1.0469708384497072,26.78883504951039
36,9.20214014698255,84.54338245083605,1.7202956014264903,19.09295502191622
37,8.751583793373554,86.26367805226253,2.0126234253762383,17.43353857248227
38,9.012547626905073,87.50371995515486,2.4673310107979396,15.870904615169554
39,8.998637448824187,85.03638894435693,2.708193486431464,14.792183118463017
40,23.536234219817654,114.11202222272675,6.599339991233677,56.4893602448885
41,23.667490778153304,116.06327585933575,6.102287270295875,60.84384038870092
42,21.101432951527656,121.54102973568402,3.386806670431107,78.83357203850929
43,41.23878063511129,96.45545001502201,2.496530556296811,55.82024515330186
44,47.5916550514021,96.13820174818613,3.3578696934356635,45.806601177754054
45,31.104236450650404,33.758897924256765,5.993895028976482,23.99016217507369
46,34.07618406636457,27.765002895280283,13.237840480361115,20.454252914230768
47,36.456393331061214,14.52716241491917,8.35497415786859,17.35091192463818
48,55.71928526217643,105.46856745485023,2.3399519407869747,45.785669734295766
49,41.23878063511129,96.45545001502201,2.496530556296811,88.59906049585456
50,47.5916550514021,96.13820174818613,3.3578696934356635,64.39149778751231
51,23.536234219817654,114.11202222272675,6.599339991233677,60.58492667292122
52,23.667490778153304,116.06327585933575,6.102287270295875,63.15966775595858
53,21.101432951527656,121.54102973568402,3.386806670431107,72.08847132503924
54,41.23878063511129,96.45545001502201,2.496530556296811,87.67452459008845
55,47.5916550514021,96.13820174818613,3.3578696934356635,76.71808800600134
56,23.536234219817654,114.11202222272675,6.599339991233677,62.61268157511445
57,23.667490778153304,116.06327585933575,6.102287270295875,62.54691343358439
58,21.101432951527656,121.54102973568402,3.386806670431107,59.837882059322226
59,41.23878063511129,96.45545001502201,2.496530556296811,34.33677399073689
60,47.5916550514021,96.13820174818613,3.3578696934356635,27.05365103374878
61,23.536234219817654,114.11202222272675,6.599339991233677,77.0248865536784
62,23.667490778153304,116.06327585933575,6.102287270295875,83.30777210863556
63,21.101432951527656,121.54102973568402,3.386806670431107,107.84221023733527
64,41.23878063511129,96.45545001502201,2.496530556296811,29.323157373436487
65,47.5916550514021,96.13820174818613,3.3578696934356635,21.481149242497033
66,55.71928526217643,105.46856745485023,2.3399519407869747,68.6723996641245
67,23.536234219817654,114.11202222272675,6.599339991233677,69.42283894569512
68,23.667490778153304,116.06327585933575,6.102287270295875,74.94124549940891
69,21.101432951527656,121.54102973568402,3.386806670431107,94.01287250818773
70,23.536234219817654,114.11202222272675,6.599339991233677,43.58946463779349
71,23.667490778153304,116.06327585933575,6.102287270295875,47.609162752019856
72,21.101432951527656,121.54102973568402,3.386806670431107,64.29422831363438
73,52.38815862876777,61.54168723960655,2.2765939214248982,31.381485644034758
74,41.23878063511129,96.45545001502201,2.496530556296811,79.66304965712304
75,47.5916550514021,96.13820174818613,3.3578696934356635,63.52958650175034
76,55.71928526217643,105.46856745485023,2.3399519407869747,48.78986105289432
77,23.536234219817654,114.11202222272675,6.599339991233677,72.45414516544716
78,23.667490778153304,116.06327585933575,6.102287270295875,73.4985215245952
79,21.101432951527656,121.54102973568402,3.386806670431107,73.86846059814343
